,start_at,end_at,timeout,node,bottleneck,status,bottleneck_id
0,2020-12-13 18:23:42,2020-12-13 18:25:42,120,GW111,network_packet_loss,COMPLETED,1f5c5876-b52f-46a5-a832-bbdafa27b2ba
1,2020-12-13 18:19:10,2020-12-13 18:21:10,120,GW111,network_packet_duplicate,FAILED,394c5593-5f08-493c-8362-10bc932665e9
2,2020-12-13 18:29:14,2020-12-13 18:30:14,60,GW1,cpu,COMPLETED,fb99b2e8-253f-4396-930e-440271cbabfa
3,2020-12-13 18:33:45,2020-12-13 18:34:45,60,GW111,diskspace,COMPLETED,3ebb2a64-6f3f-47bd-88b2-b07e4ecc570e
4,2020-12-13 18:21:41,2020-12-13 18:23:41,120,SRV,network_packet_loss,FAILED,f5cd6c98-6777-4c22-b2ea-796a3cd64639
5,2020-12-13 18:21:11,2020-12-13 18:22:11,60,SRV,network_packet_duplicate,COMPLETED,573a3c6f-a308-4a85-a889-642ce237b8e0
6,2020-12-13 18:20:40,2020-12-13 18:22:10,90,GW11,cpu,FAILED,1cf9911d-0879-41a8-8fbc-321d406dfced
7,2020-12-13 18:16:08,2020-12-13 18:17:08,60,GW1,network_packet_duplicate,COMPLETED,c00433d5-e82d-4304-a943-1e090145fdf4
8,2020-12-13 18:17:39,2020-12-13 18:19:39,120,GW111,network_packet_duplicate,COMPLETED,3530e606-2ce4-4df7-83c2-7dced9a7b898
9,2020-12-13 18:26:13,2020-12-13 18:27:13,60,GW111,cpu,COMPLETED,c18ab805-a588-4d10-aef5-1636642e7c5c
10,2020-12-13 18:28:13,2020-12-13 18:29:43,90,GW1,diskio,COMPLETED,05aced7b-8fd4-4eb0-9243-57749283a16b
11,2020-12-13 18:28:44,2020-12-13 18:29:44,60,GW1,diskio,FAILED,1e6868ed-a8e6-4971-b16e-903b39f1f188
12,2020-12-13 18:18:40,2020-12-13 18:20:10,90,GW111,memory,COMPLETED,f907ea14-0f86-4148-99f9-bf611fa05312
13,2020-12-13 18:18:09,2020-12-13 18:19:39,90,GW11,memory,COMPLETED,3651da2b-f9d0-49eb-bdf5-aad4b326ce3e
14,2020-12-13 18:33:15,2020-12-13 18:34:15,60,GW11,diskio,COMPLETED,abbc381d-1138-4e35-95ba-7b3acd55b689
15,2020-12-13 18:20:10,2020-12-13 18:22:10,120,GW1,diskio,COMPLETED,4a5fadcd-3c08-40f1-8a48-7e036739bb0d
16,2020-12-13 18:26:43,2020-12-13 18:27:43,60,GW111,diskio,COMPLETED,c212ebff-a9d8-4367-b20e-5cea9ec2fe95
17,2020-12-13 18:31:15,2020-12-13 18:32:15,60,GW111,network_packet_corrupt,COMPLETED,5f2997ed-1d7b-458a-938b-c00c5a75c94f
18,2020-12-13 18:16:39,2020-12-13 18:18:09,90,GW1,memory,COMPLETED,affc7a55-1f4b-43a3-ba2a-9bbccd1fe98b
19,2020-12-13 18:27:13,2020-12-13 18:29:13,120,GW111,diskio,FAILED,7d878cd8-f60a-4599-b7fb-83ebb250467d
